"Data Source","世界发展指标",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"中国","CHN","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","4493","4515","4084","4872","4910","4305","4051","4387","7534","7876","8688","11114","12102","33645","34418","26560","33412","40426","48548","64598","79842","88183","92101","95259","85508","98111","110583","117464","120200","127042","133612","133522","135885","148187","157093","",
"科特迪瓦","CIV","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",
"喀麦隆","CMR","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"刚果（金）","COD","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","100","74","93","66","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"刚果（布）","COG","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","81","","55","","","","","","21","15","27","","","","","","","","","","","","","","","","","","","","","","","","",
"哥伦比亚","COL","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","335","604","","527","471","441","404","532","420","516","","527","575","769","867","1093","1172","1497","1670","1615","1694","432","858","1127","1365","1662","1861","1862","1818","1551","1739","1770","1848","1781","1898","1921","1658","1777","1808","1735","",
"科摩罗","COM","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"佛得角","CPV","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","",
"哥斯达黎加","CRI","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","82","90","60","72","37","34","36","34","40","25","43","59","71","84","92","111","126","113","172","127","47","191","220","238","294","423","571","647","774","507","606","610","578","580","529","582","497","504","490","483","",
"加勒比小国","CSS","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143","","","","","","","","","403","","","362","373","495","631","539","","","","514","481","552","410","359","354","247","","",
"古巴","CUB","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","70","58","39","31","28","","","","","","26","24","19","13","31","33","40","31","","127","","","","","","180","163","210","189","172","","184","140","143","126","","163","145","126","88","",
"库拉索","CUW","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"开曼群岛","CYM","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"塞浦路斯","CYP","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","66","34","38","46","54","43","30","","","","43","53","57","","","","","","","","","","","85","85","44","","16","10","6","4","8","8","1","","1","1","4","","1","",
"捷克共和国","CZE","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2040","2593","2893","3247","3661","3771","4204","4384","4184","5031","2954","629","244","195","192","142","92","114","97","150","97","62","72","47","66","54","48","",
"德国","DEU","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","19900","16738","17158","15445","13225","12180","10945","9933","9332","9168","8605","7784","7404","6995","7261","8055","9511","11291","10843","9502","10406","10486","10589","10663","10786","11855","12573","13139","13177","11724","12198","12458","14720","15814","17811","19509","19419","19927","21281","20802","",
"吉布提","DJI","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","","","","","","",
"多米尼克","DMA","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","4","3","4","","",
"丹麦","DNK","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","4605","4745","4706","4920","5312","5236","5386","4759","6124","4683","1843","370","361","254","176","250","196","218","166","131","140","188","169","153","138","165","188","197","195","131","142","197","229","193","206","270","298","282","239","228","",
"多米尼加共和国","DOM","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","66","","","135","","","","","","","","","","","","","","63","146","172","184","181","217","280","111","45","238","328","318","265","256","244","227","242","251","211","220","",
"阿尔及利亚","DZA","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","349","340","320","278","345","","","","201","200","229","170","164","138","118","134","150","207","267","248","127","94","291","296","334","465","611","765","","","730","803","781","722","719","716","566","594","521","525","",
"东亚与太平洋地区（不包括高收入）","EAP","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","8724","7387","10300","9094","10558","10262","11369","14204","16661","18617","21719","28369","32138","50152","51590","45489","51367","54476","63559","81478","99810","107181","110536","116542","104571","115761","130648","135404","145796","155102","163413","162917","163828","179450","190078","",
"早人口紅利","EAR","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","24414","24901","25600","","23555","19957","18947","19750","17971","20336","23635","24083","29111","29392","33658","32201","39371","47004","44800","41888","51356","52477","49406","47172","53719","64763","73110","82976","82791","70687","78457","81120","76834","81819","81574","87303","84757","83411","85811","86416","",
"东亚与太平洋地区","EAS","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","47035","46687","52937","55111","59186","59681","56901","58663","58571","61892","96155","121769","141976","161025","160400","151653","182347","182559","187296","214057","243863","260213","270387","271616","239908","256608","276525","282856","301273","312965","322725","320907","321719","345332","361625","",
"欧洲与中亚地区（不包括高收入）","ECA","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10180","9689","11851","12699","14028","14219","14412","15759","16382","14656","14087","11253","13171","13901","16084","19283","16912","17880","19011","19071","20132","19905","19908","18139","17073","15958","14652","",
"欧洲与中亚地区","ECS","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51441","47403","46606","50509","53985","59633","58943","63475","68333","66719","65527","61622","52583","52458","46762","48831","49161","42683","42468","44730","48843","50558","51823","52933","52728","53211","52244","49777","",
"厄瓜多尔","ECU","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","152","180","122","112","96","","104","78","97","94","","75","84","100","335","270","354","302","","475","541","256","101","415","489","580","751","794","847","668","690","","","475","358","475","329","401","371","408","",
"阿拉伯埃及共和国","EGY","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","731","738","713","727","704","671","667","596","474","462","511","479","517","503","528","693","706","","1139","1146","1081","923","788","626","312","1008","","1589","1649","1452","1625","1591","1528","1416","1384","1337","1258","1254","1258","1156","",
"欧洲货币联盟","EMU","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","80033","60447","55947","62563","47596","51977","40688","31708","38014","30901","28634","24455","19546","18444","17127","17144","19528","19554","18754","18793","20349","18821","18330","17872","16442","16736","17977","17978","17210","15506","15999","16753","18967","20301","21882","22740","23891","24716","25673","25425","",
"厄立特里亚","ERI","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"西班牙","ESP","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","9001","8509","8555","8352","8916","9149","8581","2590","2209","2318","1079","746","561","563","537","553","524","496","476","506","484","467","371","367","313","313","316","265","252","207","213","196","209","218","225","221","177","176","149","159","",
"爱沙尼亚","EST","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452","63","198","360","443","604","791","699","700","584","97","15","9","19","10","20","13","15","5","17","6","6","1","4","6","1","",
"埃塞俄比亚","ETH","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","18","9","15","12","6","3","4","5","25","","","","34","14","24","22","32","26","39","49","","",
"欧洲联盟","EUU","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","94469","73428","67999","73969","59212","62463","50768","41163","48426","39821","35476","29099","25332","25214","24802","25388","27374","30910","30246","33521","36277","34285","35284","31381","26111","23404","19863","19408","18361","16592","16956","17745","19908","21085","22949","23781","24854","25636","26639","26305","",
"脆弱和受衝突影響的情況下","FCS","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"芬兰","FIN","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","2734","2809","2907","3178","3408","3472","3627","3941","4084","4417","4410","2671","3953","2052","1842","1733","483","250","212","343","324","270","207","215","209","229","202","211","147","127","102","124","129","141","126","127","108","139","100","75","",
"斐济","FJI","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","11","14","","","","18","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"法国","FRA","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","16989","13723","11561","10029","8867","7543","6369","5875","5194","4986","4260","3908","3547","3402","3520","3477","3484","3637","3544","3282","3483","3605","3389","3339","3060","2948","2720","2387","1761","1593","1832","2099","2092","2196","2033","1994","2012","1832","1919","1766","",
"法罗群岛","FRO","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"密克罗尼西亚联邦","FSM","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"加蓬","GAB","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"英国","GBR","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","22000","18406","16563","14798","13735","12293","11063","10419","9935","9637","8928","8357","7839","7922","8081","8891","9821","10171","10083","10399","10697","10658","10907","11198","10776","10155","8261","7624","6856","6480","6439","6916","7865","7966","7844","7934","8183","8771","8076","7189","",
"格鲁吉亚","GEO","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","178","159","420","173","205","229","190","186","221","204","171","208","250","299","316","241","218","179","260","233","219","187","172","178","157","157","112","",
"加纳","GHA","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","17","19","18","14","","","15","16","","12","20","12","11","","39","","","","","","","","","","","","","","","","","","","","","","17","11","39","","",
"直布罗陀","GIB","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"几内亚","GIN","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"冈比亚","GMB","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","4","","16","",
